GF_ID,Year_approx,Year_exact,Month,Day,Lake_name,Glacier_name,GL_ID,LakeDB_ID,G_ID,Lat_lake,Lon_lake,Elev_lake,Lat_impact,Lon_impact,Elev_impact,Impact_type,Lake_type,Transboundary,Repeat,Region_RGI,Region_HiMAP,Country,Province,River_Basin,Driver_lake,Driver_GLOF,Mechanism,Area,Volume,Discharge_water,Discharge_solid,Impact,Lives_total,Lives_male,Lives_female,Lives_disabilities,Injured_total,Injured_male,Injured_female,Injured_disabilities,Displaced_total,Displaced_male,Displaced_female,Displaced_disabilities,Livestock,Residential_destroyed,Commerical_destroyed,Residential_damaged,Commerical_damaged,Infra,Agricultural,Hydropower,Econ_damage,Ref_scientific,Ref_other,Remarks
GF075474E36344N_5,1904,1904,NA,NA,Khurdopin ,Khurdopin ,ephemeral,NA,G075438E36192N,36.344239,75.474953,3482,36.439939,75.311226,3062,Observation,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Hunza,surging glacier,unknown,englacial tunnel,,,,,,,,,,,,,,,,,,,,,,,Damage to terraces at Shimshal after emptying of two-year old lake (1902),,,,"(Hewitt and Liu, 2010)",,
GF075474E36344N_6,1905,1905,8,2,Khurdopin ,Khurdopin ,ephemeral,NA,G075438E36192N,36.344239,75.474953,3482,36.236059,74.306433,1743,Observation,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Hunza,surging glacier,unknown,englacial tunnel,,,,,,,,,,,,,,,,,,,7,,,,"bridge, road",,,,"(Neve, 1913; Todd, 1930; Kreutzmann, 1994)",,damage to Chalt Bridge and Gilgit-Chalt; track destroyed; loss of fields at Pasu and Shimshal; damage of 7 houses at Shamets and to Hunza Nager bridge at Ganesh
GF075474E36344N_7,1906,1906,8,11,Khurdopin ,Khurdopin ,ephemeral,NA,G075438E36192N,36.344239,75.474953,3482,35.434129,74.104712,1010,Observation,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Hunza,surging glacier,unknown,englacial tunnel,,,,,,,,,,,,,,,,,,,3,3,,,,,,," (Todd, 1930; Kreutzmann, 1994)",,"Damage to bridges at Askurdas, Tashot and Chamogah; Rise of river level in Chilas 36 ft, in Chalt 55 ft Fields, houses and bridges destroyed at Pasu, Hussaini, Gulmit and Ganesh 3 houses, 35 fields and 3 watermills and orchards destroyed Nomal-Chalt road damaged"
GF075474E36344N_8,1906,1906,6,NA,Khurdopin ,Khurdopin ,ephemeral,NA,G075438E36192N,36.344239,75.474953,3482,36.236059,74.306433,1743,Observation,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Hunza,surging glacier,unknown,englacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Hewitt and Liu, 2010; Bazai et al., 2021)",,"A glacier (Khurdopin or Malangutti) in the Shimshal valley dammed the river prior to July 1906, and a lake formed behind the barrier. During July a serious flood destroyed the suspension bridge at Askurdas, and the bridge across the Gilgit river at Chamogah and badly damaged the whole road between Normal and Chalt."
GF075474E36344N_9,1907,1907,9,NA,Khurdopin ,Khurdopin ,ephemeral,NA,G075438E36192N,36.344239,75.474953,3482,36.439939,75.311226,3062,Observation,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Hunza,surging glacier,unknown,englacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Todd, 1930; Iturrizaga, 2005b)",,Slow drainage in 11 days; Bonfire system (Puberanj) to warn the settlements in the Hunza valley
GF075474E36344N_10,1908,1908,NA,NA,Khurdopin ,Khurdopin ,ephemeral,NA,G075438E36192N,36.344239,75.474953,3482,NA,NA,NA,NA,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Hunza,surging glacier,unknown,englacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Bazai et al., 2021)",,
GF075474E36344N_11,1922,1922,NA,NA,Khurdopin ,Khurdopin ,ephemeral,NA,G075438E36192N,36.344239,75.474953,3482,NA,NA,NA,NA,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Hunza,surging glacier,unknown,englacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Visser, Visser-Hooft and von Cvitkovi?, 1935; Kreutzmann, 1994; Iturrizaga, 2005b)",,Loss of farms
GF075474E36344N_12,1923,1923,NA,NA,Khurdopin ,Khurdopin ,ephemeral,NA,G075438E36192N,36.344239,75.474953,3482,36.439939,75.311226,3062,Observation,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Hunza,surging glacier,unknown,englacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Kreutzmann, 1994; Iturrizaga, 2005b; Hewitt and Liu, 2010)",,Damages to bridges and farms at Shimshal
GF075474E36344N_13,1926,1926,NA,NA,Khurdopin ,Khurdopin ,ephemeral,NA,G075438E36192N,36.344239,75.474953,3482,NA,NA,NA,NA,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Hunza,surging glacier,unknown,englacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Visser-Hooft, 1926; Mason, 1935; Bazai et al., 2021)",,Damaged bridges and farmland
GF075474E36344N_14,1927,1927,6,NA,Khurdopin ,Khurdopin ,ephemeral,NA,G075438E36192N,36.344239,75.474953,3482,36.439939,75.311226,3062,Observation,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Hunza,surging glacier,unknown,englacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Iturrizaga, 2005b; Hewitt and Liu, 2010)",,"In the Shimshal valley, one of the glacier lakes burst during 1927 causing extensive flooding in the valley. Visser (1926) predicted this occurrence, when he examined these lakes, though the consequences were not so catastrophe as was predicted."
GF075474E36344N_15,1941,1941,NA,NA,Khurdopin ,Khurdopin ,ephemeral,NA,G075438E36192N,36.344239,75.474953,3482,36.463012,74.901382,2450,Observation,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Hunza,surging glacier,unknown,englacial tunnel,,,,,,,,,,,,,,,,,,,,,,,Damage to terraces at Pasu,,,,"(Charles, 1985; Kreutzmann, 1994; Iturrizaga, 2005b)",,Damage to terraces at Pasu
GF075474E36344N_16,1944,1944,NA,NA,Khurdopin ,Khurdopin ,ephemeral,NA,G075438E36192N,36.344239,75.474953,3482,36.312161,74.673558,2105,Observation,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Hunza,surging glacier,unknown,englacial tunnel,,,,,,,,,,,,,,,,,,,,,,,Damage to bridge between Nagar and Baltit,,,,"(Saunders, 1983; Kreutzmann, 1994; Iturrizaga, 2005b)",,Damage to bridge between Nagar and Baltit
GF075474E36344N_17,1957,1957,NA,NA,Khurdopin ,Khurdopin ,ephemeral,NA,G075438E36192N,36.344239,75.474953,3482,NA,NA,NA,NA,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Hunza,surging glacier,unknown,englacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Charles, 1985; Kreutzmann, 1994; Iturrizaga, 2005b)",,
